$DATA1 SOURCE='HSPICE' VERSION='J-2014.09 64-BIT'
.TITLE 'simulating a nand2 for optimal high-to-low transition'
 nmos_width_param delay_h_to_l     temper           alter#          
  2.00000e-07      1.48125e-11       25.000000      1               
  2.01000e-07      1.47851e-11       25.000000      1               
  2.02000e-07      1.47579e-11       25.000000      1               
  2.03000e-07      1.47310e-11       25.000000      1               
  2.04000e-07      1.47042e-11       25.000000      1               
  2.05000e-07      1.46777e-11       25.000000      1               
  2.06000e-07      1.46514e-11       25.000000      1               
  2.07000e-07      1.46253e-11       25.000000      1               
  2.08000e-07      1.45994e-11       25.000000      1               
  2.09000e-07      1.45737e-11       25.000000      1               
  2.10000e-07      1.45482e-11       25.000000      1               
  2.11000e-07      1.45229e-11       25.000000      1               
  2.12000e-07      1.44978e-11       25.000000      1               
  2.13000e-07      1.44729e-11       25.000000      1               
  2.14000e-07      1.44481e-11       25.000000      1               
  2.15000e-07      1.44235e-11       25.000000      1               
  2.16000e-07      1.43991e-11       25.000000      1               
  2.17000e-07      1.43749e-11       25.000000      1               
  2.18000e-07      1.43509e-11       25.000000      1               
  2.19000e-07      1.43270e-11       25.000000      1               
  2.20000e-07      1.43032e-11       25.000000      1               
  2.21000e-07      1.42797e-11       25.000000      1               
  2.22000e-07      1.42563e-11       25.000000      1               
  2.23000e-07      1.42330e-11       25.000000      1               
  2.24000e-07      1.42099e-11       25.000000      1               
  2.25000e-07      1.41870e-11       25.000000      1               
  2.26000e-07      1.41642e-11       25.000000      1               
  2.27000e-07      1.41415e-11       25.000000      1               
  2.28000e-07      1.41190e-11       25.000000      1               
  2.29000e-07      1.40966e-11       25.000000      1               
  2.30000e-07      1.40744e-11       25.000000      1               
  2.31000e-07      1.40523e-11       25.000000      1               
  2.32000e-07      1.40303e-11       25.000000      1               
  2.33000e-07      1.40084e-11       25.000000      1               
  2.34000e-07      1.39867e-11       25.000000      1               
  2.35000e-07      1.39651e-11       25.000000      1               
  2.36000e-07      1.39437e-11       25.000000      1               
  2.37000e-07      1.39223e-11       25.000000      1               
  2.38000e-07      1.39011e-11       25.000000      1               
  2.39000e-07      1.38800e-11       25.000000      1               
  2.40000e-07      1.38590e-11       25.000000      1               
  2.41000e-07      1.38381e-11       25.000000      1               
  2.42000e-07      1.38173e-11       25.000000      1               
  2.43000e-07      1.37967e-11       25.000000      1               
  2.44000e-07      1.37761e-11       25.000000      1               
  2.45000e-07      1.37557e-11       25.000000      1               
  2.46000e-07      1.37353e-11       25.000000      1               
  2.47000e-07      1.37151e-11       25.000000      1               
  2.48000e-07      1.36949e-11       25.000000      1               
  2.49000e-07      1.36749e-11       25.000000      1               
  2.50000e-07      1.36550e-11       25.000000      1               
  2.51000e-07      1.36351e-11       25.000000      1               
  2.52000e-07      1.36153e-11       25.000000      1               
  2.53000e-07      1.35957e-11       25.000000      1               
  2.54000e-07      1.35761e-11       25.000000      1               
  2.55000e-07      1.35566e-11       25.000000      1               
  2.56000e-07      1.35372e-11       25.000000      1               
  2.57000e-07      1.35179e-11       25.000000      1               
  2.58000e-07      1.34987e-11       25.000000      1               
  2.59000e-07      1.34795e-11       25.000000      1               
  2.60000e-07      1.34605e-11       25.000000      1               
  2.61000e-07      1.34415e-11       25.000000      1               
  2.62000e-07      1.34226e-11       25.000000      1               
  2.63000e-07      1.34038e-11       25.000000      1               
  2.64000e-07      1.33850e-11       25.000000      1               
  2.65000e-07      1.33664e-11       25.000000      1               
  2.66000e-07      1.33478e-11       25.000000      1               
  2.67000e-07      1.33293e-11       25.000000      1               
  2.68000e-07      1.33108e-11       25.000000      1               
  2.69000e-07      1.32924e-11       25.000000      1               
  2.70000e-07      1.32741e-11       25.000000      1               
