$DATA1 SOURCE='HSPICE' VERSION='G-2012.06-SP1 32-BIT'
.TITLE 'connecting a dut inverter with f04 configuration'
 temper           delay_l_to_h     delay_h_to_l     alter#            
  0.00000e+00      1.04889e-11      1.21879e-10     1                 
  1.00000e+00      1.04906e-11      1.21880e-10     1                 
  2.00000e+00      1.04923e-11      1.21881e-10     1                 
  3.00000e+00      1.04940e-11      1.21895e-10     1                 
  4.00000e+00      1.04957e-11      1.21897e-10     1                 
  5.00000e+00      1.04974e-11      1.21899e-10     1                 
  6.00000e+00      1.04991e-11      1.21900e-10     1                 
  7.00000e+00      1.05008e-11      1.21900e-10     1                 
  8.00000e+00      1.05026e-11      1.21875e-10     1                 
  9.00000e+00      1.05043e-11      1.21879e-10     1                 
  1.00000e+01      1.05060e-11      1.21875e-10     1                 
  1.10000e+01      1.05077e-11      1.21877e-10     1                 
  1.20000e+01      1.05095e-11      1.21843e-10     1                 
  1.30000e+01      1.05112e-11      1.21881e-10     1                 
  1.40000e+01      1.05130e-11      1.21883e-10     1                 
  1.50000e+01      1.05147e-11      1.21914e-10     1                 
  1.60000e+01      1.05165e-11      1.21928e-10     1                 
  1.70000e+01      1.05182e-11      1.21925e-10     1                 
  1.80000e+01      1.05200e-11      1.21901e-10     1                 
  1.90000e+01      1.05217e-11      1.21899e-10     1                 
  2.00000e+01      1.05235e-11      1.21901e-10     1                 
  2.10000e+01      1.05253e-11      1.21903e-10     1                 
  2.20000e+01      1.05270e-11      1.21906e-10     1                 
  2.30000e+01      1.05288e-11      1.21908e-10     1                 
  2.40000e+01      1.05306e-11      1.21922e-10     1                 
  2.50000e+01      1.05323e-11      1.21924e-10     1                 
  2.60000e+01      1.05341e-11      1.21926e-10     1                 
  2.70000e+01      1.05358e-11      1.21929e-10     1                 
  2.80000e+01      1.05376e-11      1.21931e-10     1                 
  2.90000e+01      1.05394e-11      1.21934e-10     1                 
  3.00000e+01      1.05411e-11      1.21936e-10     1                 
  3.10000e+01      1.05428e-11      1.21939e-10     1                 
  3.20000e+01      1.05445e-11      1.21941e-10     1                 
  3.30000e+01      1.05463e-11      1.21944e-10     1                 
  3.40000e+01      1.05481e-11      1.21946e-10     1                 
  3.50000e+01      1.05499e-11      1.21949e-10     1                 
  3.60000e+01      1.05517e-11      1.21952e-10     1                 
  3.70000e+01      1.05534e-11      1.21954e-10     1                 
  3.80000e+01      1.05552e-11      1.21957e-10     1                 
  3.90000e+01      1.05570e-11      1.21959e-10     1                 
  4.00000e+01      1.05587e-11      1.21962e-10     1                 
  4.10000e+01      1.05605e-11      1.21952e-10     1                 
  4.20000e+01      1.05623e-11      1.21954e-10     1                 
  4.30000e+01      1.05640e-11      1.21957e-10     1                 
  4.40000e+01      1.05658e-11      1.21946e-10     1                 
  4.50000e+01      1.05676e-11      1.21948e-10     1                 
  4.60000e+01      1.05693e-11      1.21983e-10     1                 
  4.70000e+01      1.05710e-11      1.21985e-10     1                 
  4.80000e+01      1.05728e-11      1.21987e-10     1                 
  4.90000e+01      1.05745e-11      1.21989e-10     1                 
  5.00000e+01      1.05762e-11      1.21991e-10     1                 
  5.10000e+01      1.05780e-11      1.21993e-10     1                 
  5.20000e+01      1.05797e-11      1.21998e-10     1                 
  5.30000e+01      1.05814e-11      1.22002e-10     1                 
  5.40000e+01      1.05831e-11      1.22007e-10     1                 
  5.50000e+01      1.05848e-11      1.21996e-10     1                 
  5.60000e+01      1.05865e-11      1.21998e-10     1                 
  5.70000e+01      1.05882e-11      1.22001e-10     1                 
  5.80000e+01      1.05899e-11      1.22003e-10     1                 
  5.90000e+01      1.05916e-11      1.22006e-10     1                 
  6.00000e+01      1.05933e-11      1.22008e-10     1                 
  6.10000e+01      1.05950e-11      1.22011e-10     1                 
  6.20000e+01      1.05967e-11      1.22013e-10     1                 
  6.30000e+01      1.05983e-11      1.22016e-10     1                 
  6.40000e+01      1.06000e-11      1.22018e-10     1                 
  6.50000e+01      1.06017e-11      1.22021e-10     1                 
  6.60000e+01      1.06033e-11      1.22024e-10     1                 
  6.70000e+01      1.06050e-11      1.22026e-10     1                 
  6.80000e+01      1.06066e-11      1.22029e-10     1                 
  6.90000e+01      1.06082e-11      1.22031e-10     1                 
  7.00000e+01      1.06099e-11      1.22059e-10     1                 
  7.10000e+01      1.06115e-11      1.22063e-10     1                 
  7.20000e+01      1.06131e-11      1.22058e-10     1                 
  7.30000e+01      1.06147e-11      1.22060e-10     1                 
  7.40000e+01      1.06163e-11      1.22063e-10     1                 
  7.50000e+01      1.06179e-11      1.22065e-10     1                 
  7.60000e+01      1.06195e-11      1.22067e-10     1                 
  7.70000e+01      1.06211e-11      1.22069e-10     1                 
  7.80000e+01      1.06227e-11      1.22073e-10     1                 
  7.90000e+01      1.06243e-11      1.22077e-10     1                 
  8.00000e+01      1.06258e-11      1.22081e-10     1                 
  8.10000e+01      1.06274e-11      1.22085e-10     1                 
  8.20000e+01      1.06289e-11      1.22089e-10     1                 
  8.30000e+01      1.06305e-11      1.22110e-10     1                 
  8.40000e+01      1.06320e-11      1.22114e-10     1                 
  8.50000e+01      1.06335e-11      1.22077e-10     1                 
  8.60000e+01      1.06350e-11      1.22081e-10     1                 
  8.70000e+01      1.06366e-11      1.22071e-10     1                 
  8.80000e+01      1.06381e-11      1.22074e-10     1                 
  8.90000e+01      1.06396e-11      1.22078e-10     1                 
  9.00000e+01      1.06411e-11      1.22081e-10     1                 
  9.10000e+01      1.06426e-11      1.22084e-10     1                 
  9.20000e+01      1.06440e-11      1.22087e-10     1                 
  9.30000e+01      1.06455e-11      1.22090e-10     1                 
  9.40000e+01      1.06470e-11      1.22092e-10     1                 
